PROVÍNCIA;COMARCA;MUNICIPI;SIGLES;PARTIT;VOTS;PERCENT
Barcelona;Vallès Occidental;Polinyà;PSC;PARTIT DELS SOCIALISTES DE CATALUNYA (PSC-PSOE);1460;30,28
Barcelona;Vallès Occidental;Polinyà;ECP;EN COMÚ PODEM - GUANYEM EL CANVI;1089;22,58
Barcelona;Vallès Occidental;Polinyà;ERC;ESQUERRA REPUBLICANA DE CATALUNYA-SOBIRANISTES;786;16,30
Barcelona;Vallès Occidental;Polinyà;Cs;CIUDADANOS-PARTIDO DE LA CIUDADANÍA;693;14,37
Barcelona;Vallès Occidental;Polinyà;VOX;VOX;231;4,79
Barcelona;Vallès Occidental;Polinyà;JxCAT;JUNTS PER CATALUNYA-JUNTS;188;3,90
Barcelona;Vallès Occidental;Polinyà;PP;PARTIDO POPULAR/PARTIT POPULAR;173;3,59
Barcelona;Vallès Occidental;Polinyà;PACMA;PARTIT ANIMALISTA CONTRA EL MALTRACTAMENT ANIMAL;107;2,22
Barcelona;Vallès Occidental;Polinyà;FR;POBLE LLIURE - SOM ALTERNATIVA - PIRATES DE CATALUNYA: FRONT REPUBLICÀ;32;0,66
Barcelona;Vallès Occidental;Polinyà;RCERO;RECORTES CERO-GRUPO VERDE;9;0,19
Barcelona;Vallès Occidental;Polinyà;PCTC;PARTIT COMUNISTA DELS TREBALLADORS DE CATALUNYA;3;0,06
Barcelona;Vallès Occidental;Polinyà;PCPC;PARTIT COMUNISTA DEL POBLE DE CATALUNYA;2;0,04
Barcelona;Vallès Occidental;Polinyà;IZQP;IZQUIERDA EN POSITIVO;1;0,02
Barcelona;Vallès Occidental;Polinyà;CNV;CONVERGENTS;-;-
Barcelona;Vallès Occidental;Rellinars;ERC;ESQUERRA REPUBLICANA DE CATALUNYA-SOBIRANISTES;163;33,06
Barcelona;Vallès Occidental;Rellinars;ECP;EN COMÚ PODEM - GUANYEM EL CANVI;97;19,68
Barcelona;Vallès Occidental;Rellinars;PSC;PARTIT DELS SOCIALISTES DE CATALUNYA (PSC-PSOE);93;18,86
Barcelona;Vallès Occidental;Rellinars;JxCAT;JUNTS PER CATALUNYA-JUNTS;60;12,17
Barcelona;Vallès Occidental;Rellinars;Cs;CIUDADANOS-PARTIDO DE LA CIUDADANÍA;28;5,68
Barcelona;Vallès Occidental;Rellinars;VOX;VOX;14;2,84
Barcelona;Vallès Occidental;Rellinars;PP;PARTIDO POPULAR/PARTIT POPULAR;13;2,64
Barcelona;Vallès Occidental;Rellinars;PACMA;PARTIT ANIMALISTA CONTRA EL MALTRACTAMENT ANIMAL;12;2,43
Barcelona;Vallès Occidental;Rellinars;FR;POBLE LLIURE - SOM ALTERNATIVA - PIRATES DE CATALUNYA: FRONT REPUBLICÀ;9;1,83
Barcelona;Vallès Occidental;Rellinars;IZQP;IZQUIERDA EN POSITIVO;1;0,20
Barcelona;Vallès Occidental;Rellinars;PCPC;PARTIT COMUNISTA DEL POBLE DE CATALUNYA;1;0,20
Barcelona;Vallès Occidental;Rellinars;CNV;CONVERGENTS;-;-
Barcelona;Vallès Occidental;Rellinars;PCTC;PARTIT COMUNISTA DELS TREBALLADORS DE CATALUNYA;-;-
Barcelona;Vallès Occidental;Rellinars;RCERO;RECORTES CERO-GRUPO VERDE;-;-
Barcelona;Vallès Occidental;Ripollet;PSC;PARTIT DELS SOCIALISTES DE CATALUNYA (PSC-PSOE);6446;30,55
Barcelona;Vallès Occidental;Ripollet;ECP;EN COMÚ PODEM - GUANYEM EL CANVI;4767;22,59
Barcelona;Vallès Occidental;Ripollet;Cs;CIUDADANOS-PARTIDO DE LA CIUDADANÍA;3134;14,85
Barcelona;Vallès Occidental;Ripollet;ERC;ESQUERRA REPUBLICANA DE CATALUNYA-SOBIRANISTES;3077;14,58
Barcelona;Vallès Occidental;Ripollet;PP;PARTIDO POPULAR/PARTIT POPULAR;1072;5,08
Barcelona;Vallès Occidental;Ripollet;VOX;VOX;940;4,45
Barcelona;Vallès Occidental;Ripollet;JxCAT;JUNTS PER CATALUNYA-JUNTS;791;3,75
Barcelona;Vallès Occidental;Ripollet;PACMA;PARTIT ANIMALISTA CONTRA EL MALTRACTAMENT ANIMAL;362;1,72
Barcelona;Vallès Occidental;Ripollet;FR;POBLE LLIURE - SOM ALTERNATIVA - PIRATES DE CATALUNYA: FRONT REPUBLICÀ;299;1,42
Barcelona;Vallès Occidental;Ripollet;RCERO;RECORTES CERO-GRUPO VERDE;40;0,19
Barcelona;Vallès Occidental;Ripollet;IZQP;IZQUIERDA EN POSITIVO;18;0,09
Barcelona;Vallès Occidental;Ripollet;PCPC;PARTIT COMUNISTA DEL POBLE DE CATALUNYA;15;0,07
Barcelona;Vallès Occidental;Ripollet;PCTC;PARTIT COMUNISTA DELS TREBALLADORS DE CATALUNYA;10;0,05
Barcelona;Vallès Occidental;Ripollet;CNV;CONVERGENTS;3;0,01
Barcelona;Vallès Occidental;Rubí;PSC;PARTIT DELS SOCIALISTES DE CATALUNYA (PSC-PSOE);11730;28,30
Barcelona;Vallès Occidental;Rubí;ECP;EN COMÚ PODEM - GUANYEM EL CANVI;8328;20,09
Barcelona;Vallès Occidental;Rubí;ERC;ESQUERRA REPUBLICANA DE CATALUNYA-SOBIRANISTES;7535;18,18
Barcelona;Vallès Occidental;Rubí;Cs;CIUDADANOS-PARTIDO DE LA CIUDADANÍA;5988;14,45
Barcelona;Vallès Occidental;Rubí;JxCAT;JUNTS PER CATALUNYA-JUNTS;2047;4,94
Barcelona;Vallès Occidental;Rubí;PP;PARTIDO POPULAR/PARTIT POPULAR;1921;4,63
Barcelona;Vallès Occidental;Rubí;VOX;VOX;1903;4,59
Barcelona;Vallès Occidental;Rubí;PACMA;PARTIT ANIMALISTA CONTRA EL MALTRACTAMENT ANIMAL;880;2,12
Barcelona;Vallès Occidental;Rubí;FR;POBLE LLIURE - SOM ALTERNATIVA - PIRATES DE CATALUNYA: FRONT REPUBLICÀ;714;1,72
Barcelona;Vallès Occidental;Rubí;RCERO;RECORTES CERO-GRUPO VERDE;73;0,18
Barcelona;Vallès Occidental;Rubí;IZQP;IZQUIERDA EN POSITIVO;30;0,07
Barcelona;Vallès Occidental;Rubí;PCPC;PARTIT COMUNISTA DEL POBLE DE CATALUNYA;25;0,06
Barcelona;Vallès Occidental;Rubí;PCTC;PARTIT COMUNISTA DELS TREBALLADORS DE CATALUNYA;13;0,03
Barcelona;Vallès Occidental;Rubí;CNV;CONVERGENTS;12;0,03
Barcelona;Vallès Occidental;Sabadell;PSC;PARTIT DELS SOCIALISTES DE CATALUNYA (PSC-PSOE);32174;26,72
Barcelona;Vallès Occidental;Sabadell;ERC;ESQUERRA REPUBLICANA DE CATALUNYA-SOBIRANISTES;26075;21,65
Barcelona;Vallès Occidental;Sabadell;ECP;EN COMÚ PODEM - GUANYEM EL CANVI;20661;17,16
Barcelona;Vallès Occidental;Sabadell;Cs;CIUDADANOS-PARTIDO DE LA CIUDADANÍA;14544;12,08
Barcelona;Vallès Occidental;Sabadell;JxCAT;JUNTS PER CATALUNYA-JUNTS;11077;9,20
Barcelona;Vallès Occidental;Sabadell;PP;PARTIDO POPULAR/PARTIT POPULAR;4820;4,00
Barcelona;Vallès Occidental;Sabadell;VOX;VOX;4484;3,72
Barcelona;Vallès Occidental;Sabadell;FR;POBLE LLIURE - SOM ALTERNATIVA - PIRATES DE CATALUNYA: FRONT REPUBLICÀ;3329;2,76
Barcelona;Vallès Occidental;Sabadell;PACMA;PARTIT ANIMALISTA CONTRA EL MALTRACTAMENT ANIMAL;2098;1,74
Barcelona;Vallès Occidental;Sabadell;RCERO;RECORTES CERO-GRUPO VERDE;251;0,21
Barcelona;Vallès Occidental;Sabadell;PCPC;PARTIT COMUNISTA DEL POBLE DE CATALUNYA;75;0,06
Barcelona;Vallès Occidental;Sabadell;IZQP;IZQUIERDA EN POSITIVO;72;0,06
Barcelona;Vallès Occidental;Sabadell;PCTC;PARTIT COMUNISTA DELS TREBALLADORS DE CATALUNYA;71;0,06
Barcelona;Vallès Occidental;Sabadell;CNV;CONVERGENTS;48;0,04
Barcelona;Vallès Occidental;Sant Cugat del Vallès;ERC;ESQUERRA REPUBLICANA DE CATALUNYA-SOBIRANISTES;13772;26,75
Barcelona;Vallès Occidental;Sant Cugat del Vallès;JxCAT;JUNTS PER CATALUNYA-JUNTS;8615;16,73
Barcelona;Vallès Occidental;Sant Cugat del Vallès;PSC;PARTIT DELS SOCIALISTES DE CATALUNYA (PSC-PSOE);8550;16,61
Barcelona;Vallès Occidental;Sant Cugat del Vallès;ECP;EN COMÚ PODEM - GUANYEM EL CANVI;6438;12,50
Barcelona;Vallès Occidental;Sant Cugat del Vallès;Cs;CIUDADANOS-PARTIDO DE LA CIUDADANÍA;6220;12,08
Barcelona;Vallès Occidental;Sant Cugat del Vallès;PP;PARTIDO POPULAR/PARTIT POPULAR;2546;4,94
Barcelona;Vallès Occidental;Sant Cugat del Vallès;VOX;VOX;2127;4,13
Barcelona;Vallès Occidental;Sant Cugat del Vallès;FR;POBLE LLIURE - SOM ALTERNATIVA - PIRATES DE CATALUNYA: FRONT REPUBLICÀ;1847;3,59
Barcelona;Vallès Occidental;Sant Cugat del Vallès;PACMA;PARTIT ANIMALISTA CONTRA EL MALTRACTAMENT ANIMAL;715;1,39
Barcelona;Vallès Occidental;Sant Cugat del Vallès;PCPC;PARTIT COMUNISTA DEL POBLE DE CATALUNYA;109;0,21
Barcelona;Vallès Occidental;Sant Cugat del Vallès;RCERO;RECORTES CERO-GRUPO VERDE;83;0,16
Barcelona;Vallès Occidental;Sant Cugat del Vallès;CNV;CONVERGENTS;47;0,09
Barcelona;Vallès Occidental;Sant Cugat del Vallès;PCTC;PARTIT COMUNISTA DELS TREBALLADORS DE CATALUNYA;29;0,06
Barcelona;Vallès Occidental;Sant Cugat del Vallès;IZQP;IZQUIERDA EN POSITIVO;19;0,04
Barcelona;Vallès Occidental;Sant Llorenç Savall;ERC;ESQUERRA REPUBLICANA DE CATALUNYA-SOBIRANISTES;544;38,18
Barcelona;Vallès Occidental;Sant Llorenç Savall;JxCAT;JUNTS PER CATALUNYA-JUNTS;275;19,30
Barcelona;Vallès Occidental;Sant Llorenç Savall;ECP;EN COMÚ PODEM - GUANYEM EL CANVI;175;12,28
Barcelona;Vallès Occidental;Sant Llorenç Savall;PSC;PARTIT DELS SOCIALISTES DE CATALUNYA (PSC-PSOE);169;11,86
Barcelona;Vallès Occidental;Sant Llorenç Savall;Cs;CIUDADANOS-PARTIDO DE LA CIUDADANÍA;85;5,96
Barcelona;Vallès Occidental;Sant Llorenç Savall;FR;POBLE LLIURE - SOM ALTERNATIVA - PIRATES DE CATALUNYA: FRONT REPUBLICÀ;54;3,79
Barcelona;Vallès Occidental;Sant Llorenç Savall;PP;PARTIDO POPULAR/PARTIT POPULAR;45;3,16
Barcelona;Vallès Occidental;Sant Llorenç Savall;VOX;VOX;45;3,16
Barcelona;Vallès Occidental;Sant Llorenç Savall;PACMA;PARTIT ANIMALISTA CONTRA EL MALTRACTAMENT ANIMAL;24;1,68
Barcelona;Vallès Occidental;Sant Llorenç Savall;RCERO;RECORTES CERO-GRUPO VERDE;3;0,21
Barcelona;Vallès Occidental;Sant Llorenç Savall;IZQP;IZQUIERDA EN POSITIVO;1;0,07
Barcelona;Vallès Occidental;Sant Llorenç Savall;PCPC;PARTIT COMUNISTA DEL POBLE DE CATALUNYA;1;0,07
Barcelona;Vallès Occidental;Sant Llorenç Savall;CNV;CONVERGENTS;-;-
Barcelona;Vallès Occidental;Sant Llorenç Savall;PCTC;PARTIT COMUNISTA DELS TREBALLADORS DE CATALUNYA;-;-
Barcelona;Vallès Occidental;Sant Quirze del Vallès;ERC;ESQUERRA REPUBLICANA DE CATALUNYA-SOBIRANISTES;3747;30,39
Barcelona;Vallès Occidental;Sant Quirze del Vallès;PSC;PARTIT DELS SOCIALISTES DE CATALUNYA (PSC-PSOE);2179;17,67
Barcelona;Vallès Occidental;Sant Quirze del Vallès;JxCAT;JUNTS PER CATALUNYA-JUNTS;1734;14,06
Barcelona;Vallès Occidental;Sant Quirze del Vallès;ECP;EN COMÚ PODEM - GUANYEM EL CANVI;1615;13,10
Barcelona;Vallès Occidental;Sant Quirze del Vallès;Cs;CIUDADANOS-PARTIDO DE LA CIUDADANÍA;1430;11,60
Barcelona;Vallès Occidental;Sant Quirze del Vallès;PP;PARTIDO POPULAR/PARTIT POPULAR;501;4,06
Barcelona;Vallès Occidental;Sant Quirze del Vallès;VOX;VOX;440;3,57
Barcelona;Vallès Occidental;Sant Quirze del Vallès;FR;POBLE LLIURE - SOM ALTERNATIVA - PIRATES DE CATALUNYA: FRONT REPUBLICÀ;394;3,20
Barcelona;Vallès Occidental;Sant Quirze del Vallès;PACMA;PARTIT ANIMALISTA CONTRA EL MALTRACTAMENT ANIMAL;207;1,68
Barcelona;Vallès Occidental;Sant Quirze del Vallès;RCERO;RECORTES CERO-GRUPO VERDE;18;0,15
Barcelona;Vallès Occidental;Sant Quirze del Vallès;CNV;CONVERGENTS;8;0,06
Barcelona;Vallès Occidental;Sant Quirze del Vallès;PCPC;PARTIT COMUNISTA DEL POBLE DE CATALUNYA;5;0,04
Barcelona;Vallès Occidental;Sant Quirze del Vallès;PCTC;PARTIT COMUNISTA DELS TREBALLADORS DE CATALUNYA;5;0,04
Barcelona;Vallès Occidental;Sant Quirze del Vallès;IZQP;IZQUIERDA EN POSITIVO;2;0,02
Barcelona;Vallès Occidental;Santa Perpètua de Mogoda;PSC;PARTIT DELS SOCIALISTES DE CATALUNYA (PSC-PSOE);4030;27,97
Barcelona;Vallès Occidental;Santa Perpètua de Mogoda;ECP;EN COMÚ PODEM - GUANYEM EL CANVI;2976;20,66
Barcelona;Vallès Occidental;Santa Perpètua de Mogoda;ERC;ESQUERRA REPUBLICANA DE CATALUNYA-SOBIRANISTES;2571;17,85
Barcelona;Vallès Occidental;Santa Perpètua de Mogoda;Cs;CIUDADANOS-PARTIDO DE LA CIUDADANÍA;2191;15,21
Barcelona;Vallès Occidental;Santa Perpètua de Mogoda;JxCAT;JUNTS PER CATALUNYA-JUNTS;732;5,08
Barcelona;Vallès Occidental;Santa Perpètua de Mogoda;VOX;VOX;688;4,78
Barcelona;Vallès Occidental;Santa Perpètua de Mogoda;PP;PARTIDO POPULAR/PARTIT POPULAR;607;4,21
Barcelona;Vallès Occidental;Santa Perpètua de Mogoda;PACMA;PARTIT ANIMALISTA CONTRA EL MALTRACTAMENT ANIMAL;290;2,01
Barcelona;Vallès Occidental;Santa Perpètua de Mogoda;FR;POBLE LLIURE - SOM ALTERNATIVA - PIRATES DE CATALUNYA: FRONT REPUBLICÀ;180;1,25
Barcelona;Vallès Occidental;Santa Perpètua de Mogoda;RCERO;RECORTES CERO-GRUPO VERDE;20;0,14
Barcelona;Vallès Occidental;Santa Perpètua de Mogoda;IZQP;IZQUIERDA EN POSITIVO;11;0,08
Barcelona;Vallès Occidental;Santa Perpètua de Mogoda;PCTC;PARTIT COMUNISTA DELS TREBALLADORS DE CATALUNYA;11;0,08
Barcelona;Vallès Occidental;Santa Perpètua de Mogoda;PCPC;PARTIT COMUNISTA DEL POBLE DE CATALUNYA;10;0,07
Barcelona;Vallès Occidental;Santa Perpètua de Mogoda;CNV;CONVERGENTS;2;0,01
Barcelona;Vallès Occidental;Sentmenat;ERC;ESQUERRA REPUBLICANA DE CATALUNYA-SOBIRANISTES;1309;24,41
Barcelona;Vallès Occidental;Sentmenat;PSC;PARTIT DELS SOCIALISTES DE CATALUNYA (PSC-PSOE);1267;23,63
Barcelona;Vallès Occidental;Sentmenat;ECP;EN COMÚ PODEM - GUANYEM EL CANVI;943;17,59
Barcelona;Vallès Occidental;Sentmenat;JxCAT;JUNTS PER CATALUNYA-JUNTS;563;10,50
Barcelona;Vallès Occidental;Sentmenat;Cs;CIUDADANOS-PARTIDO DE LA CIUDADANÍA;522;9,74
Barcelona;Vallès Occidental;Sentmenat;VOX;VOX;254;4,74
Barcelona;Vallès Occidental;Sentmenat;PP;PARTIDO POPULAR/PARTIT POPULAR;176;3,28
Barcelona;Vallès Occidental;Sentmenat;FR;POBLE LLIURE - SOM ALTERNATIVA - PIRATES DE CATALUNYA: FRONT REPUBLICÀ;165;3,08
Barcelona;Vallès Occidental;Sentmenat;PACMA;PARTIT ANIMALISTA CONTRA EL MALTRACTAMENT ANIMAL;119;2,22
Barcelona;Vallès Occidental;Sentmenat;RCERO;RECORTES CERO-GRUPO VERDE;10;0,19
Barcelona;Vallès Occidental;Sentmenat;PCTC;PARTIT COMUNISTA DELS TREBALLADORS DE CATALUNYA;3;0,06
Barcelona;Vallès Occidental;Sentmenat;IZQP;IZQUIERDA EN POSITIVO;2;0,04
Barcelona;Vallès Occidental;Sentmenat;PCPC;PARTIT COMUNISTA DEL POBLE DE CATALUNYA;1;0,02
Barcelona;Vallès Occidental;Sentmenat;CNV;CONVERGENTS;-;-
Barcelona;Vallès Occidental;Terrassa;PSC;PARTIT DELS SOCIALISTES DE CATALUNYA (PSC-PSOE);30917;25,65
Barcelona;Vallès Occidental;Terrassa;ERC;ESQUERRA REPUBLICANA DE CATALUNYA-SOBIRANISTES;25143;20,86
Barcelona;Vallès Occidental;Terrassa;ECP;EN COMÚ PODEM - GUANYEM EL CANVI;21795;18,08
Barcelona;Vallès Occidental;Terrassa;Cs;CIUDADANOS-PARTIDO DE LA CIUDADANÍA;15662;12,99
Barcelona;Vallès Occidental;Terrassa;JxCAT;JUNTS PER CATALUNYA-JUNTS;10516;8,73
Barcelona;Vallès Occidental;Terrassa;PP;PARTIDO POPULAR/PARTIT POPULAR;5127;4,25
Barcelona;Vallès Occidental;Terrassa;VOX;VOX;5018;4,16
Barcelona;Vallès Occidental;Terrassa;FR;POBLE LLIURE - SOM ALTERNATIVA - PIRATES DE CATALUNYA: FRONT REPUBLICÀ;2708;2,25
Barcelona;Vallès Occidental;Terrassa;PACMA;PARTIT ANIMALISTA CONTRA EL MALTRACTAMENT ANIMAL;2282;1,89
Barcelona;Vallès Occidental;Terrassa;RCERO;RECORTES CERO-GRUPO VERDE;266;0,22
Barcelona;Vallès Occidental;Terrassa;PCTC;PARTIT COMUNISTA DELS TREBALLADORS DE CATALUNYA;92;0,08
Barcelona;Vallès Occidental;Terrassa;PCPC;PARTIT COMUNISTA DEL POBLE DE CATALUNYA;80;0,07
Barcelona;Vallès Occidental;Terrassa;IZQP;IZQUIERDA EN POSITIVO;59;0,05
Barcelona;Vallès Occidental;Terrassa;CNV;CONVERGENTS;58;0,05
Barcelona;Vallès Occidental;Ullastrell;ERC;ESQUERRA REPUBLICANA DE CATALUNYA-SOBIRANISTES;482;37,54
Barcelona;Vallès Occidental;Ullastrell;JxCAT;JUNTS PER CATALUNYA-JUNTS;272;21,18
Barcelona;Vallès Occidental;Ullastrell;PSC;PARTIT DELS SOCIALISTES DE CATALUNYA (PSC-PSOE);168;13,08
Barcelona;Vallès Occidental;Ullastrell;ECP;EN COMÚ PODEM - GUANYEM EL CANVI;149;11,60
Barcelona;Vallès Occidental;Ullastrell;Cs;CIUDADANOS-PARTIDO DE LA CIUDADANÍA;81;6,31
Barcelona;Vallès Occidental;Ullastrell;FR;POBLE LLIURE - SOM ALTERNATIVA - PIRATES DE CATALUNYA: FRONT REPUBLICÀ;49;3,82
Barcelona;Vallès Occidental;Ullastrell;PP;PARTIDO POPULAR/PARTIT POPULAR;29;2,26
Barcelona;Vallès Occidental;Ullastrell;PACMA;PARTIT ANIMALISTA CONTRA EL MALTRACTAMENT ANIMAL;21;1,64
Barcelona;Vallès Occidental;Ullastrell;VOX;VOX;20;1,56
Barcelona;Vallès Occidental;Ullastrell;PCPC;PARTIT COMUNISTA DEL POBLE DE CATALUNYA;2;0,16
Barcelona;Vallès Occidental;Ullastrell;IZQP;IZQUIERDA EN POSITIVO;1;0,08
Barcelona;Vallès Occidental;Ullastrell;PCTC;PARTIT COMUNISTA DELS TREBALLADORS DE CATALUNYA;1;0,08
Barcelona;Vallès Occidental;Ullastrell;CNV;CONVERGENTS;-;-
Barcelona;Vallès Occidental;Ullastrell;RCERO;RECORTES CERO-GRUPO VERDE;-;-
Barcelona;Vallès Occidental;Vacarisses;ERC;ESQUERRA REPUBLICANA DE CATALUNYA-SOBIRANISTES;1024;26,57
Barcelona;Vallès Occidental;Vacarisses;PSC;PARTIT DELS SOCIALISTES DE CATALUNYA (PSC-PSOE);801;20,78
Barcelona;Vallès Occidental;Vacarisses;ECP;EN COMÚ PODEM - GUANYEM EL CANVI;692;17,96
Barcelona;Vallès Occidental;Vacarisses;Cs;CIUDADANOS-PARTIDO DE LA CIUDADANÍA;464;12,04
Barcelona;Vallès Occidental;Vacarisses;JxCAT;JUNTS PER CATALUNYA-JUNTS;321;8,33
Barcelona;Vallès Occidental;Vacarisses;VOX;VOX;197;5,11
Barcelona;Vallès Occidental;Vacarisses;PP;PARTIDO POPULAR/PARTIT POPULAR;131;3,40
Barcelona;Vallès Occidental;Vacarisses;PACMA;PARTIT ANIMALISTA CONTRA EL MALTRACTAMENT ANIMAL;104;2,70
Barcelona;Vallès Occidental;Vacarisses;FR;POBLE LLIURE - SOM ALTERNATIVA - PIRATES DE CATALUNYA: FRONT REPUBLICÀ;73;1,89
Barcelona;Vallès Occidental;Vacarisses;IZQP;IZQUIERDA EN POSITIVO;7;0,18
Barcelona;Vallès Occidental;Vacarisses;RCERO;RECORTES CERO-GRUPO VERDE;7;0,18
Barcelona;Vallès Occidental;Vacarisses;PCTC;PARTIT COMUNISTA DELS TREBALLADORS DE CATALUNYA;3;0,08
Barcelona;Vallès Occidental;Vacarisses;PCPC;PARTIT COMUNISTA DEL POBLE DE CATALUNYA;2;0,05
Barcelona;Vallès Occidental;Vacarisses;CNV;CONVERGENTS;-;-
Barcelona;Vallès Occidental;Viladecavalls;ERC;ESQUERRA REPUBLICANA DE CATALUNYA-SOBIRANISTES;1287;26,37
Barcelona;Vallès Occidental;Viladecavalls;PSC;PARTIT DELS SOCIALISTES DE CATALUNYA (PSC-PSOE);944;19,34
Barcelona;Vallès Occidental;Viladecavalls;ECP;EN COMÚ PODEM - GUANYEM EL CANVI;846;17,34
Barcelona;Vallès Occidental;Viladecavalls;Cs;CIUDADANOS-PARTIDO DE LA CIUDADANÍA;639;13,09
Barcelona;Vallès Occidental;Viladecavalls;JxCAT;JUNTS PER CATALUNYA-JUNTS;480;9,84
Barcelona;Vallès Occidental;Viladecavalls;VOX;VOX;215;4,41
Barcelona;Vallès Occidental;Viladecavalls;PP;PARTIDO POPULAR/PARTIT POPULAR;185;3,79
Barcelona;Vallès Occidental;Viladecavalls;FR;POBLE LLIURE - SOM ALTERNATIVA - PIRATES DE CATALUNYA: FRONT REPUBLICÀ;135;2,77
Barcelona;Vallès Occidental;Viladecavalls;PACMA;PARTIT ANIMALISTA CONTRA EL MALTRACTAMENT ANIMAL;106;2,17
Barcelona;Vallès Occidental;Viladecavalls;RCERO;RECORTES CERO-GRUPO VERDE;6;0,12
Barcelona;Vallès Occidental;Viladecavalls;IZQP;IZQUIERDA EN POSITIVO;5;0,10
Barcelona;Vallès Occidental;Viladecavalls;PCTC;PARTIT COMUNISTA DELS TREBALLADORS DE CATALUNYA;5;0,10
Barcelona;Vallès Occidental;Viladecavalls;PCPC;PARTIT COMUNISTA DEL POBLE DE CATALUNYA;2;0,04
Barcelona;Vallès Occidental;Viladecavalls;CNV;CONVERGENTS;1;0,02
Barcelona;Vallès Oriental;;ERC;ESQUERRA REPUBLICANA DE CATALUNYA-SOBIRANISTES;59245;25,20
Barcelona;Vallès Oriental;;PSOE;PARTIDO SOCIALISTA OBRERO ESPAÑOL;54996;23,39
Barcelona;Vallès Oriental;;PODEMOS;UNIDAS PODEMOS;37577;15,98
Barcelona;Vallès Oriental;;Cs;CIUDADANOS-PARTIDO DE LA CIUDADANÍA;26986;11,48
Barcelona;Vallès Oriental;;JxCAT;JUNTS PER CATALUNYA-JUNTS;26070;11,09
Barcelona;Vallès Oriental;;PP;PARTIDO POPULAR;9709;4,13
Barcelona;Vallès Oriental;;VOX;VOX;7708;3,28
Barcelona;Vallès Oriental;;FR;POBLE LLIURE - SOM ALTERNATIVA - PIRATES DE CATALUNYA: FRONT REPUBLICÀ;6523;2,77
Barcelona;Vallès Oriental;;PACMA;PARTIDO ANIMALISTA CONTRA EL MALTRATO ANIMAL;4018;1,71
Barcelona;Vallès Oriental;;RCERO;RECORTES CERO-GRUPO VERDE;431;0,18
Barcelona;Vallès Oriental;;PCTE;PARTIDO COMUNISTA DE LOS TRABAJADORES DE ESPAÑA;154;0,07
Barcelona;Vallès Oriental;;PCPC;PARTIT COMUNISTA DEL POBLE DE CATALUNYA;134;0,06
Barcelona;Vallès Oriental;;IZQP;IZQUIERDA EN POSITIVO;129;0,05
Barcelona;Vallès Oriental;;CNV;CONVERGENTS;73;0,03
Barcelona;Vallès Oriental;;PCPE;PARTIDO COMUNISTA DE LOS PUEBLOS DE ESPAÑA;-;-
Barcelona;Vallès Oriental;Aiguafreda;ERC;ESQUERRA REPUBLICANA DE CATALUNYA-SOBIRANISTES;673;41,04
Barcelona;Vallès Oriental;Aiguafreda;JxCAT;JUNTS PER CATALUNYA-JUNTS;324;19,76
Barcelona;Vallès Oriental;Aiguafreda;PSC;PARTIT DELS SOCIALISTES DE CATALUNYA (PSC-PSOE);211;12,87
Barcelona;Vallès Oriental;Aiguafreda;ECP;EN COMÚ PODEM - GUANYEM EL CANVI;158;9,63
Barcelona;Vallès Oriental;Aiguafreda;Cs;CIUDADANOS-PARTIDO DE LA CIUDADANÍA;103;6,28
Barcelona;Vallès Oriental;Aiguafreda;FR;POBLE LLIURE - SOM ALTERNATIVA - PIRATES DE CATALUNYA: FRONT REPUBLICÀ;59;3,60
Barcelona;Vallès Oriental;Aiguafreda;PP;PARTIDO POPULAR/PARTIT POPULAR;45;2,74
Barcelona;Vallès Oriental;Aiguafreda;PACMA;PARTIT ANIMALISTA CONTRA EL MALTRACTAMENT ANIMAL;29;1,77
Barcelona;Vallès Oriental;Aiguafreda;VOX;VOX;28;1,71
Barcelona;Vallès Oriental;Aiguafreda;RCERO;RECORTES CERO-GRUPO VERDE;2;0,12
Barcelona;Vallès Oriental;Aiguafreda;CNV;CONVERGENTS;1;0,06
Barcelona;Vallès Oriental;Aiguafreda;IZQP;IZQUIERDA EN POSITIVO;1;0,06
Barcelona;Vallès Oriental;Aiguafreda;PCTC;PARTIT COMUNISTA DELS TREBALLADORS DE CATALUNYA;1;0,06
Barcelona;Vallès Oriental;Aiguafreda;PCPC;PARTIT COMUNISTA DEL POBLE DE CATALUNYA;-;-
Barcelona;Vallès Oriental;L'Ametlla del Vallès;ERC;ESQUERRA REPUBLICANA DE CATALUNYA-SOBIRANISTES;1687;32,84
Barcelona;Vallès Oriental;L'Ametlla del Vallès;JxCAT;JUNTS PER CATALUNYA-JUNTS;1036;20,17
Barcelona;Vallès Oriental;L'Ametlla del Vallès;PSC;PARTIT DELS SOCIALISTES DE CATALUNYA (PSC-PSOE);682;13,28
Barcelona;Vallès Oriental;L'Ametlla del Vallès;ECP;EN COMÚ PODEM - GUANYEM EL CANVI;574;11,17
Barcelona;Vallès Oriental;L'Ametlla del Vallès;Cs;CIUDADANOS-PARTIDO DE LA CIUDADANÍA;501;9,75
Barcelona;Vallès Oriental;L'Ametlla del Vallès;FR;POBLE LLIURE - SOM ALTERNATIVA - PIRATES DE CATALUNYA: FRONT REPUBLICÀ;187;3,64
Barcelona;Vallès Oriental;L'Ametlla del Vallès;PP;PARTIDO POPULAR/PARTIT POPULAR;187;3,64
Barcelona;Vallès Oriental;L'Ametlla del Vallès;VOX;VOX;166;3,23
