PROVÍNCIA;COMARCA;MUNICIPI;SIGLES;PARTIT;VOTS;PERCENT
Barcelona;Alt Penedès;Avinyonet del Penedès;CNV;CONVERGENTS;-;-
Barcelona;Alt Penedès;Avinyonet del Penedès;IZQP;IZQUIERDA EN POSITIVO;-;-
Barcelona;Alt Penedès;Avinyonet del Penedès;RCERO;RECORTES CERO-GRUPO VERDE;-;-
Barcelona;Alt Penedès;Les Cabanyes;ERC;ESQUERRA REPUBLICANA DE CATALUNYA-SOBIRANISTES;189;32,14
Barcelona;Alt Penedès;Les Cabanyes;JxCAT;JUNTS PER CATALUNYA-JUNTS;123;20,92
Barcelona;Alt Penedès;Les Cabanyes;PSC;PARTIT DELS SOCIALISTES DE CATALUNYA (PSC-PSOE);100;17,01
Barcelona;Alt Penedès;Les Cabanyes;ECP;EN COMÚ PODEM - GUANYEM EL CANVI;57;9,69
Barcelona;Alt Penedès;Les Cabanyes;Cs;CIUDADANOS-PARTIDO DE LA CIUDADANÍA;31;5,27
Barcelona;Alt Penedès;Les Cabanyes;FR;POBLE LLIURE - SOM ALTERNATIVA - PIRATES DE CATALUNYA: FRONT REPUBLICÀ;30;5,10
Barcelona;Alt Penedès;Les Cabanyes;PP;PARTIDO POPULAR/PARTIT POPULAR;25;4,25
Barcelona;Alt Penedès;Les Cabanyes;VOX;VOX;24;4,08
Barcelona;Alt Penedès;Les Cabanyes;PACMA;PARTIT ANIMALISTA CONTRA EL MALTRACTAMENT ANIMAL;2;0,34
Barcelona;Alt Penedès;Les Cabanyes;RCERO;RECORTES CERO-GRUPO VERDE;2;0,34
Barcelona;Alt Penedès;Les Cabanyes;PCPC;PARTIT COMUNISTA DEL POBLE DE CATALUNYA;1;0,17
Barcelona;Alt Penedès;Les Cabanyes;PCTC;PARTIT COMUNISTA DELS TREBALLADORS DE CATALUNYA;1;0,17
Barcelona;Alt Penedès;Les Cabanyes;CNV;CONVERGENTS;-;-
Barcelona;Alt Penedès;Les Cabanyes;IZQP;IZQUIERDA EN POSITIVO;-;-
Barcelona;Alt Penedès;Castellet i la Gornal;ERC;ESQUERRA REPUBLICANA DE CATALUNYA-SOBIRANISTES;384;28,66
Barcelona;Alt Penedès;Castellet i la Gornal;PSC;PARTIT DELS SOCIALISTES DE CATALUNYA (PSC-PSOE);316;23,58
Barcelona;Alt Penedès;Castellet i la Gornal;ECP;EN COMÚ PODEM - GUANYEM EL CANVI;199;14,85
Barcelona;Alt Penedès;Castellet i la Gornal;JxCAT;JUNTS PER CATALUNYA-JUNTS;138;10,30
Barcelona;Alt Penedès;Castellet i la Gornal;Cs;CIUDADANOS-PARTIDO DE LA CIUDADANÍA;132;9,85
Barcelona;Alt Penedès;Castellet i la Gornal;PP;PARTIDO POPULAR/PARTIT POPULAR;53;3,96
Barcelona;Alt Penedès;Castellet i la Gornal;VOX;VOX;53;3,96
Barcelona;Alt Penedès;Castellet i la Gornal;FR;POBLE LLIURE - SOM ALTERNATIVA - PIRATES DE CATALUNYA: FRONT REPUBLICÀ;27;2,01
Barcelona;Alt Penedès;Castellet i la Gornal;PACMA;PARTIT ANIMALISTA CONTRA EL MALTRACTAMENT ANIMAL;25;1,87
Barcelona;Alt Penedès;Castellet i la Gornal;CNV;CONVERGENTS;3;0,22
Barcelona;Alt Penedès;Castellet i la Gornal;IZQP;IZQUIERDA EN POSITIVO;2;0,15
Barcelona;Alt Penedès;Castellet i la Gornal;PCTC;PARTIT COMUNISTA DELS TREBALLADORS DE CATALUNYA;2;0,15
Barcelona;Alt Penedès;Castellet i la Gornal;RCERO;RECORTES CERO-GRUPO VERDE;1;0,07
Barcelona;Alt Penedès;Castellet i la Gornal;PCPC;PARTIT COMUNISTA DEL POBLE DE CATALUNYA;-;-
Barcelona;Alt Penedès;Castellví de la Marca;ERC;ESQUERRA REPUBLICANA DE CATALUNYA-SOBIRANISTES;341;35,37
Barcelona;Alt Penedès;Castellví de la Marca;JxCAT;JUNTS PER CATALUNYA-JUNTS;282;29,25
Barcelona;Alt Penedès;Castellví de la Marca;PSC;PARTIT DELS SOCIALISTES DE CATALUNYA (PSC-PSOE);119;12,34
Barcelona;Alt Penedès;Castellví de la Marca;ECP;EN COMÚ PODEM - GUANYEM EL CANVI;80;8,30
Barcelona;Alt Penedès;Castellví de la Marca;Cs;CIUDADANOS-PARTIDO DE LA CIUDADANÍA;34;3,53
Barcelona;Alt Penedès;Castellví de la Marca;FR;POBLE LLIURE - SOM ALTERNATIVA - PIRATES DE CATALUNYA: FRONT REPUBLICÀ;33;3,42
Barcelona;Alt Penedès;Castellví de la Marca;PP;PARTIDO POPULAR/PARTIT POPULAR;27;2,80
Barcelona;Alt Penedès;Castellví de la Marca;VOX;VOX;20;2,07
